,datetime,open_price,higest_price,lowest_price,price_1d,volume,1D_EMA_5,1D_EMA_10,1D_EMA_15,price_1w,1W_EMA_5,1W_EMA_10,1W_EMA_15
23,2017-03-26,161.78,161.78,161.78,161.78,10,154.31916268988894,144.93338069175837,136.67087441647604,,,,
24,2017-04-09,23.18,23.18,23.18,177.29,10,161.97610845992597,150.81640238416594,141.74826511441654,,,,
25,2017-04-11,177.29,183.33,177.29,183.33,35,169.0940723066173,156.72796558704485,146.94598197511448,,,,
26,2017-04-12,186.43,186.43,186.43,186.43,20,174.87271487107822,162.12833548030943,151.88148422822516,,,,
27,2017-04-13,189.69,189.69,189.69,189.69,10,179.81180991405216,167.13954721116227,156.60754869969702,184.185,163.51231697247815,143.80293637179207,130.96157395144107
28,2017-04-20,192.95,203.02,192.95,203.02,40,187.5478732760348,173.66326590004184,162.4091051122349,203.02,176.68154464831878,154.56967521328443,139.96887720751093
29,2017-04-24,206.59,206.59,206.59,206.59,20,193.89524885068988,179.64994482730694,167.9317169732055,,,,
30,2017-04-26,210.15,210.15,210.15,210.15,10,199.31349923379327,185.19540940416022,173.20900235155483,,,,
31,2017-04-27,213.88,228.76,213.88,232.79,312,210.47233282252887,193.84897133067653,180.65662705761048,216.51,189.95769643221251,165.8315524472327,149.53651755657205
32,2017-04-30,232.79,236.98,232.79,236.98,22,219.30822188168594,201.69097654328078,187.69704867540918,,,,
33,2017-05-04,241.16,245.5,241.16,245.5,28,228.03881458779063,209.65625353541157,194.92241759098303,241.24,207.05179762147503,179.54217927500858,160.99945286200054
34,2017-05-07,249.84,263.49,249.84,263.49,43,239.85587639186042,219.44420743806398,203.49336539211015,,,,
35,2017-05-08,268.29,287.52,268.29,287.52,75,255.74391759457365,231.82162426750688,213.99669471809636,,,,
36,2017-05-11,314.79,314.79,314.79,314.79,10,275.4259450630491,246.90678349159654,226.5958578783343,288.59999999999997,234.23453174765004,199.37087395227974,176.94952125425047
37,2017-05-15,320.54,320.54,320.54,320.54,10,290.46396337536606,260.294641038579,238.3388756435425,,,,
38,2017-05-17,326.43,350.15,326.43,350.15,72,310.3593089169107,276.63197903156464,252.3152661880997,,,,
39,2017-05-21,389.84,418.67,389.84,418.53,478,346.41620594460716,302.4316192076438,273.09210791458725,,,,
40,2017-05-22,426.43,458.06,426.43,466.74,1780,386.5241372964048,332.30587026079945,297.2980944252638,,,,
41,2017-05-23,466.74,501.47,440.23,449.53,23569,407.5260915309365,353.61934839519955,316.32708262210576,,,,
42,2017-05-28,437.13,437.13,425.97,429.07,4617,414.7073943539577,367.3376486869814,330.41994729434253,,,,
43,2017-05-30,421.01,427.83,417.13,423.95,3110,417.7882629026385,377.6308034711666,342.1112038825497,,,,
44,2017-06-01,418.06,418.06,406.43,412.64,3711,416.07217526842567,383.9961119309545,350.927303397231,421.8866666666666,358.5865279252297,292.9080619418071,252.03633617879152
45,2017-06-04,411.55,411.55,392.48,401.47,1476,411.2047835122838,387.17318248896277,357.2451404725772,,,,
46,2017-06-05,403.02,408.76,402.25,407.05,3213,409.81985567485594,390.78714930915135,363.4707479135051,,,,
47,2017-06-06,410.77,417.75,407.05,416.67,2535,412.10323711657065,395.4931221620329,370.12065442431697,,,,
48,2017-06-07,424.11,426.12,413.88,414.65,5278,412.95215807771376,398.976190859845,375.6868226212774,,,,
49,2017-06-08,410.77,414.65,407.67,412.33,2104,412.7447720518092,401.404156158055,380.2672197936177,410.434,375.8690186168198,314.276414316024,271.8360441564426
50,2017-06-11,406.9,406.9,397.29,400.08,2170,408.5231813678728,401.16340049295405,382.7438173194155,,,,
51,2017-06-12,393.72,403.02,391.4,402.87,2655,406.63878757858186,401.4736913124169,385.25959015448854,,,,
52,2017-06-13,403.02,410.77,387.98,394.81,936,402.6958583857213,400.2621110737956,386.45339138517744,,,,
53,2017-06-14,395.27,398.22,389.22,396.51,900,400.63390559048094,399.5799090603782,387.71046746203024,,,,
54,2017-06-15,392.17,402.87,387.52,394.96,2083,398.7426037269873,398.73992559485487,388.61665902927643,397.846,383.19467907787987,329.47088444038326,287.58728863688725
55,2017-06-19,385.97,390.46,374.65,376.67,1495,391.3850691513249,394.7272118503358,387.1233266506169,,,,
56,2017-06-20,375.89,384.57,372.02,378.99,1178,387.25337943421664,391.8659006048201,386.1066608192898,,,,
57,2017-06-21,378.99,382.09,372.33,375.43,777,383.31225295614445,388.87755504030736,384.7720782168786,,,,
58,2017-06-22,372.95,378.22,372.95,378.22,597,381.61483530409635,386.93981776025146,383.9530684397688,377.3275,381.2389527185866,338.17208726940447,298.80481505727636
59,2017-06-25,374.34,379.92,374.34,377.44,605,380.22322353606427,385.21257816747845,383.1389348847977,,,,
60,2017-06-27,379.77,384.42,375.12,376.2,1125,378.88214902404286,383.57392759157324,382.27156802419796,,,,
61,2017-06-28,369.22,375.43,369.22,372.02,1418,376.5947660160286,381.4732134840144,380.9901220211732,,,,
62,2017-07-02,370.46,378.22,366.74,367.05,925,373.4131773440191,378.8508110323754,379.24760676852657,,,,
63,2017-07-03,364.26,371.09,364.26,370.46,1136,372.42878489601276,377.32520902648895,378.14915592246075,,,,
64,2017-07-04,370.46,371.24,364.57,365.81,843,370.22252326400854,375.23153465803637,376.6067614321532,,,,
65,2017-07-05,365.81,376.67,362.71,376.67,1061,372.3716821760057,375.49307381112067,376.61466625313403,,,,
66,2017-07-06,379.77,387.52,376.67,383.64,859,376.12778811733716,376.97433311818963,377.49283297149225,372.726,377.0637567638163,349.9658766018327,316.4028740282272
67,2017-07-10,365.19,371.71,365.19,365.81,1620,372.68852541155815,374.94445436942783,376.0324788500557,,,,
68,2017-07-11,365.66,370.46,364.26,366.28,701,370.5523502743721,373.36909902953187,374.8134189937988,,,,
69,2017-07-12,366.43,371.24,365.81,367.98,689,369.69490018291475,372.38926284234424,373.95924161957396,,,,
70,2017-07-13,367.98,368.76,364.26,364.88,734,368.08993345527654,371.02394232555434,372.82433641712726,366.2375,373.4550045092109,352.9243535833176,322.6322022746988
71,2017-07-16,365.04,366.59,361.94,362.71,804,366.2966223035177,369.5123164481808,371.56004436498637,,,,
72,2017-07-17,362.4,372.02,357.44,372.02,1941,368.2044148690118,369.9682589121479,371.61753881936306,,,,
73,2017-07-18,373.57,382.87,368.14,380.54,3126,372.3162765793412,371.8903936553937,372.73284646694265,,,,
74,2017-07-19,378.22,382.87,366.59,373.57,2192,372.73418438622747,372.19577662714033,372.83749065857484,,,,
75,2017-07-20,369.69,375.74,368.14,373.57,879,373.01278959081833,372.4456354222057,372.929054326253,372.48199999999997,373.13066967280724,356.48028929544165,328.8634269903614
76,2017-07-23,373.88,376.67,372.17,374.19,1704,373.40519306054557,372.7627926181683,373.08667253547134,,,,
77,2017-07-24,367.36,372.02,366.43,368.45,2418,371.75346204036373,371.97864850577406,372.5070884685374,,,,
78,2017-07-25,367.67,371.24,367.36,368.91,791,370.8056413602425,371.4207124138151,372.0574524099702,,,,
79,2017-07-26,372.02,372.17,363.64,363.64,779,368.41709424016165,370.0060374294851,371.0052708587239,,,,
80,2017-07-27,364.57,397.6,364.57,391.4,3123,376.07806282677444,373.89584880594236,373.5546120013834,373.318,373.1931131152048,359.54169124172495,334.42024861656625
81,2017-07-30,386.74,395.27,376.98,392.17,2077,381.44204188451636,377.21842175031645,375.8815355012105,,,,
82,2017-07-31,390.62,395.27,385.04,388.29,1418,383.7246945896776,379.23143597753165,377.4325935635592,,,,
83,2017-08-01,387.52,405.97,384.57,405.97,3586,391.13979639311844,384.09299307252587,380.99976936811424,,,,
84,2017-08-02,403.02,403.02,395.43,398.06,1858,393.4465309287457,386.63244887752114,383.13229819709994,,,,
85,2017-08-06,421.63,421.63,403.8,403.8,3983,396.89768728583044,389.7538218088809,385.7157609224625,,,,
86,2017-08-07,401.47,403.02,392.17,401.16,1563,398.31845819055366,391.82767238908434,387.6462908071547,,,,
87,2017-08-09,401.16,426.12,397.13,413.26,8108,403.2989721270358,395.7244592274326,390.84800445626036,,,,
88,2017-08-10,416.98,418.37,407.05,407.05,4364,404.54931475135726,397.78364845880844,392.87325389922785,406.3175,389.3299947178689,373.4881569469398,350.1560887845585
89,2017-08-13,404.57,404.57,390.31,392.48,2800,400.5262098342382,396.8193487390251,392.82409716182434,,,,
90,2017-08-15,392.17,392.33,385.19,391.4,1035,397.48413988949216,395.8340126046569,392.6460850165963,,,,
91,2017-08-16,399.46,399.77,392.95,396.98,1354,397.31609325966144,396.0423739492647,393.1878243895218,,,,
92,2017-08-17,394.5,395.58,389.22,392.17,1310,395.6007288397743,395.3383059584893,393.0605963408316,393.2575,390.63916314524596,377.0825829565871,355.5437651864887
93,2017-08-20,386.12,400.23,385.97,399.92,755,397.0404858931829,396.17134123876394,393.91802179822764,,,,
94,2017-08-21,392.95,393.72,387.67,387.98,619,394.0203239287886,394.6820064680796,393.1757690734492,,,,
95,2017-08-22,387.52,401.01,386.74,388.29,1149,392.1102159525258,393.51982347388326,392.565047939268,,,,
96,2017-08-23,388.45,391.4,387.52,388.29,1360,390.83681063501723,392.56894647863174,392.0306669468595,,,,
