,s,o,h,l,c,v,t
478,ok,827.2,840.4,827.2,833.48,2487,1751932800
479,ok,843.8,843.8,833.0,837.07,6439,1752019200
480,ok,834.0,844.7,834.0,841.31,7381,1752105600
481,ok,852.9,857.0,841.1,854.97,15101,1752364800
482,ok,860.0,868.6,851.1,852.65,8112,1752451200
483,ok,852.0,862.9,849.5,861.63,6747,1752537600
484,ok,869.0,885.0,861.0,873.65,25977,1752624000
485,ok,888.0,915.0,880.9,907.7,43420,1752710400
486,ok,920.0,998.4,903.1,984.81,158912,1752969600
487,ok,990.0,990.0,945.0,954.91,84338,1753056000
488,ok,960.0,973.0,951.0,954.68,40950,1753142400
489,ok,950.0,964.0,936.0,945.92,34829,1753228800
490,ok,964.8,964.8,938.0,940.45,22385,1753315200
491,ok,921.7,958.0,921.7,939.41,30720,1753574400
492,ok,936.0,945.0,921.6,937.13,19566,1753660800
493,ok,918.4,970.0,918.4,950.2,35927,1753747200
