,s,o,h,l,c,v,t
41,ok,678.0,696.0,678.0,678.0,17741,1691452800
42,ok,678.0,690.0,671.0,690.0,13669,1691539200
43,ok,680.0,729.5,680.0,706.5,45639,1691625600
44,ok,701.1,730.0,701.1,720.0,39511,1691884800
45,ok,711.0,730.0,709.0,712.0,24937,1691971200
46,ok,697.8,705.0,686.0,693.1,41263,1692057600
47,ok,685.0,693.0,680.0,690.0,17406,1692144000
48,ok,680.0,713.8,680.0,712.7,23199,1692230400
49,ok,701.0,710.0,688.3,688.3,12734,1692489600
50,ok,680.4,698.5,680.4,685.0,8873,1692576000
51,ok,685.0,693.0,680.9,693.0,9222,1692662400
52,ok,685.0,704.0,685.0,699.5,22771,1692748800
53,ok,698.0,700.0,677.0,678.0,15454,1692835200
54,ok,670.0,675.0,665.0,670.0,11972,1693094400
55,ok,661.2,703.8,657.3,700.0,23937,1693180800
56,ok,686.0,695.0,667.0,688.0,17851,1693267200
57,ok,675.0,756.0,670.1,756.0,26306,1693353600
58,ok,740.9,740.9,680.4,680.4,54143,1693699200
59,ok,666.8,690.0,666.8,679.0,14863,1693785600
60,ok,678.0,678.0,661.0,669.0,14198,1693872000
61,ok,660.1,670.0,655.0,655.1,8107,1694044800
62,ok,665.0,694.0,658.1,661.0,7449,1694304000
63,ok,655.0,677.0,655.0,676.0,10033,1694390400
64,ok,670.1,675.0,655.0,659.0,9137,1694476800
65,ok,670.0,683.4,657.1,675.0,8740,1694563200
66,ok,662.0,670.0,648.0,652.9,13600,1694908800
67,ok,647.0,663.0,646.0,655.0,2878,1694995200
68,ok,660.0,668.0,645.0,655.9,9890,1695081600
69,ok,669.0,677.0,656.3,667.0,21181,1695254400
70,ok,659.0,674.0,652.0,660.0,8748,1695513600
71,ok,647.1,665.0,647.1,650.1,9905,1695600000
72,ok,656.0,661.9,650.1,652.0,13716,1695686400
73,ok,650.0,659.0,637.0,645.0,26699,1695772800
74,ok,633.1,648.0,620.0,629.8,12258,1696118400
75,ok,639.9,639.9,612.1,628.0,12344,1696204800
76,ok,638.0,638.0,615.0,619.0,6450,1696291200
77,ok,616.0,630.9,611.2,623.0,4100,1696377600
78,ok,613.1,621.0,613.1,620.0,3443,1696464000
79,ok,615.0,615.0,606.0,607.9,5824,1696723200
80,ok,600.0,612.0,600.0,608.0,4821,1696809600
81,ok,595.9,608.0,582.1,585.0,4175,1696896000
82,ok,584.0,643.5,583.0,643.5,6976,1696982400
83,ok,630.7,630.7,579.2,585.0,25946,1697068800
84,ok,575.3,579.0,563.8,563.8,4761,1697414400
85,ok,553.2,574.3,540.4,549.0,11098,1697500800
86,ok,559.9,576.3,540.2,550.0,10625,1697587200
87,ok,539.1,560.0,539.1,554.0,8174,1697673600
88,ok,543.0,549.0,519.3,529.8,16955,1698537600
89,ok,519.3,529.0,509.0,527.0,1964,1698624000
90,ok,516.6,531.0,510.0,531.0,4394,1698710400
91,ok,520.4,552.2,511.0,514.6,4755,1698796800
92,ok,507.1,528.3,507.1,527.5,8116,1698883200
93,ok,518.0,530.4,508.0,529.9,7688,1699142400
94,ok,530.0,560.0,521.3,559.9,18615,1699228800
95,ok,550.0,580.0,550.0,570.9,12422,1699315200
96,ok,559.5,575.0,537.5,569.0,8084,1699401600
97,ok,558.0,571.9,542.2,542.2,17032,1699488000
98,ok,542.2,550.0,525.0,529.9,9553,1700438400
99,ok,529.0,550.8,509.0,509.0,7002,1700524800
100,ok,509.0,532.8,503.7,532.0,3610,1700611200
101,ok,522.0,542.0,515.0,536.0,5328,1700697600
102,ok,536.0,564.0,529.0,547.0,18146,1700956800
103,ok,547.0,567.0,545.0,558.0,11888,1701043200
104,ok,547.1,600.0,547.1,574.0,16293,1701129600
105,ok,574.0,609.0,566.0,568.2,16853,1701216000
106,ok,558.5,566.0,552.8,559.0,9154,1701302400
