datetime,price_1d,1D_EMA_5,1D_EMA_10,1D_EMA_15,price_1w,1W_EMA_5,1W_EMA_10,1W_EMA_15
2024-01-11,371.55,372.2231569449508,375.5136787219542,376.38279468173886,369.81,374.37269374587214,361.74032472180227,353.8782069433012
2024-01-14,372.49,372.3121046299672,374.9639189543262,375.8961953465215,,,,
2024-01-16,381.31,375.3114030866449,376.1177518717214,376.5729209282063,,,,
2024-01-17,376.58,375.7342687244299,376.2017969859538,376.5738058121805,,,,
2024-01-18,370.13,373.86617914961994,375.09783389759855,375.76833008565796,375.1275,374.62429583058145,364.1743565905655,356.53436857538856
2024-01-21,363.83,370.52078609974666,373.04913682530787,374.2760388249507,,,,
2024-01-22,367.76,369.60052406649777,372.08747558434277,373.46153397183184,,,,
2024-01-23,364.22,367.8070160443319,370.65702547809866,372.30634222535286,,,,
2024-01-24,359.89,365.16801069622124,368.6993844820807,370.75429944718377,,,,
2024-01-25,356.74,362.35867379748083,366.5249509398842,369.0025120162858,362.488,370.57886388705435,363.86774630137177,357.27857250346494
2024-01-28,360.68,361.79911586498724,365.46223258717794,367.96219801425,,,,
2024-01-29,357.13,360.24274390999153,363.94728120769105,366.60817326246877,,,,
2024-01-30,359.1,359.8618292733277,363.0659573517472,365.66965160466015,,,,
2024-01-31,356.58,358.7678861822185,361.8866923787022,364.53344515407764,,,,
2024-02-01,354.06,357.1985907881457,360.46365740075635,363.22426450981794,357.51,366.22257592470294,362.7117924283951,357.3075009405318
2024-02-04,357.92,357.4390605254305,360.0011742369824,362.5612314460907,,,,
2024-02-05,353.67,356.18270701695366,358.85005164844017,361.4498275153294,,,,
2024-02-06,353.27,355.2118046779691,357.8354968032692,360.42734907591324,,,,
2024-02-07,368.55,359.65786978531276,359.7835882935839,361.4426804414241,,,,
2024-02-08,367.68,362.3319131902085,361.21929951293225,362.22234538624605,360.218,364.2210506164687,362.2583756232324,357.67131332296526
2024-02-11,363.9,362.8546087934724,361.70669960148996,362.4320522129653,,,,
2024-02-12,365.4,363.7030725289816,362.3782087648554,362.80304568634466,,,,
2024-02-13,358.31,361.9053816859878,361.6385344439726,362.24141497555155,,,,
2024-02-14,356.03,359.94692112399184,360.6188009087049,361.46498810360765,,,,
2024-02-15,352.09,357.3279474159946,359.0681098343949,360.2931145906567,359.146,362.5293670776458,361.69248914628105,357.85564915759466
2024-02-18,347.29,353.9819649439964,356.9266353190503,358.6677252668246,,,,
2024-02-20,345.32,351.09464329599757,354.8163379883139,356.99925960847156,,,,
2024-02-21,341.93,348.0397621973317,352.4733674449841,355.1156021574126,,,,
2024-02-22,337.21,344.42984146488783,349.69820972771424,352.877401887736,342.9375,355.99874471843054,358.2824911196845,355.99088051289533
2024-02-25,336.74,341.8665609765919,347.3421715954026,350.86022665176904,,,,
2024-02-26,340.2,341.3110406510613,346.043594941693,349.5276983202979,,,,
2024-02-27,341.85,341.49069376737424,345.2811231341125,348.5679860302606,,,,
2024-02-28,341.78,341.5871291782495,344.6445552915465,347.719487776478,,,,
2024-02-29,336.26,339.8114194521663,343.12009069308345,346.2870518044183,339.366,350.45449647895373,354.8431290979237,353.9127704487834
2024-03-03,331.54,337.0542796347776,341.0146196579774,344.443670328866,,,,
2024-03-04,350.44,341.5161864231851,342.72832517470874,345.19321153775775,,,,
2024-03-05,341.78,341.6041242821234,342.55590241567074,344.766560095538,,,,
2024-03-06,344.14,342.4494161880823,342.84392015827603,344.68824008359576,,,,
2024-03-07,352.72,345.87294412538824,344.63957103858945,345.69221007314627,344.12399999999997,348.3443309859692,352.8941965346648,352.6891741426855
2024-03-10,361.46,351.06862941692555,347.69783084975495,347.663183814003,,,,
2024-03-12,382.73,361.6224196112837,354.06731614979947,352.04653583725263,,,,
2024-03-13,378.79,367.3449464075225,358.56234957710865,355.38946885759606,,,,
2024-03-14,366.98,367.22329760501503,360.0928314721798,356.83828525039655,372.49,356.3928873239795,356.45706989199846,355.1642773748498
2024-03-17,367.92,367.45553173667673,361.51595302269254,358.223499594097,,,,
2024-03-18,369.34,368.0836878244512,362.9385070185666,359.6130621448349,,,,
2024-03-19,366.42,367.5291252163008,363.57150574246356,360.46392937673056,,,,
2024-03-20,366.19,367.0827501442006,364.04759560747016,361.17968820463926,,,,
2024-03-21,360.83,364.99850009613374,363.46257822429374,361.13597717905935,366.14,359.64192488265303,358.2176026389078,356.53624270299355
2024-03-25,355.95,361.9823333974225,362.0966549107858,360.4877300316769,,,,
2024-03-26,355.16,359.70822226494835,360.8354449270065,359.82176377771725,,,,
2024-03-27,350.44,356.61881484329894,358.94536403118707,358.64904330550263,,,,
2024-03-28,357.45,356.8958765621993,358.6734796618803,358.49916289231476,354.75,358.01128325510206,357.58712943183366,356.31296236511935
2024-03-31,355.95,356.58058437479957,358.1783015415384,358.1805175307754,,,,
2024-04-01,353.98,355.7137229165331,357.4149739885314,357.65545283942845,,,,
2024-04-02,354.69,355.3724819443554,356.91952417243476,357.2847712344999,,,,
2024-04-03,354.53,355.09165462957026,356.48506523199205,356.94042483018734,,,,
2024-04-04,354.45,354.87776975304683,356.1150533716298,356.6291217264139,354.71999999999997,356.91418883673475,357.06583317150023,356.1138420694794
2024-04-07,366.19,358.64851316869795,357.94686184951524,357.8242315106122,,,,
2024-04-09,364.22,360.50567544579866,359.08743242233066,358.62370257178566,,,,
2024-04-10,355.56,358.8571169638658,358.446081072816,358.24073975031246,,,,
2024-04-14,352.8,356.83807797591055,357.4195208777586,357.5606472815234,,,,
2024-04-15,349.65,354.44205198394036,356.0068807181661,356.571816371333,,,,
2024-04-16,349.18,352.6880346559603,354.7656296784995,355.64783932491633,,,,
2024-04-18,346.11,350.4953564373069,353.1918788278632,354.4556094093018,349.435,355.54908392743766,356.41092964373155,355.92169158444517
2024-04-21,345.71,348.90023762487124,351.8315372227972,353.3624082331391,,,,
2024-04-22,342.56,346.78682508324755,350.1458031822886,352.0121072039967,,,,
2024-04-24,344.14,345.90455005549836,349.053838967327,351.02809380349714,,,,
2024-04-25,346.66,346.15636670366564,348.6185955187221,350.48208207806,344.7675,351.9552226182918,354.29394243578037,354.5274176363895
2024-04-28,353.51,348.60757780244376,349.5079417880453,350.86057181830245,,,,
2024-04-29,351.93,349.71505186829586,349.9483160084007,350.9942503410146,,,,
2024-04-30,356.03,351.8200345788639,351.054076734146,351.6237190483878,,,,
2024-05-02,356.74,353.46002305257593,352.0878809643013,352.26325416733926,354.5525,352.8209817455279,354.3409529020021,354.5305529318408
2024-05-05,355.4,354.10668203505065,352.69008442533743,352.65534739642186,,,,
2024-05-06,364.69,357.6344546900338,354.8718872570943,354.15967897186914,,,,
2024-05-07,364.69,359.9863031266892,356.6569986648953,355.4759691003855,,,,
2024-05-12,354.77,358.24753541779285,356.3139079985507,355.3877229628373,,,,
2024-05-13,358.47,358.3216902785286,356.7059247260869,355.7730075924826,,,,
2024-05-14,364.14,360.2611268523524,358.05757477588924,356.81888164342223,,,,
